Company,Founded,City,Domain,Description,Founders,Investors,Amount,Stage
1Bridge,2016,Bengaluru,Consumer Goods,"['Village', 'Commerce', 'Network', 'Bridging', 'Aspirations']","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000,Undisclosed
1K Kirana Bazaar,2018,Gurugram,Retail,"['India', 'Largest', 'Network', 'Small', 'Town']","Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh","Info Edge, FalconEdge",7000000,Undisclosed
21K School,2020,Bengaluru,E-Learning,"['School', '21', 'K', 'India', 'Online']","Santosh Kumar, Yeshwanth Raj Parasmal, Dinesh Kumar, Joshi Kumar",Ronnie Screwvala,5000000,Pre-series A
3SC,2018,Gurugram,Logistics,"['end', 'analytics', 'supply', 'chain', 'company']","Lalit, Sarita Das",GEF Capitals South Asia Fund,15000000,Series B
4baseCare,2018,Bengaluru,Healthcare,"['4baseCare', 'develops', 'unified', 'patient', 'centric']","Hitesh Goswami, Kshitij Rishi","Mount Judi Ventures, growX Ventures, Season Two Ventures",2000000,Pre-series A
4Fin,2021,Pune,FinTech,"['4Fin', 'Fintech', 'Platform', 'catering', 'needs']","Amit Tewary, Ajit Sinha",Curesense Therapeutics,1100000,Pre-seed
5CNetwork,2014,Bengaluru,Healthcare,"['5C', 'India', 'Diagnostics', 'Network', 'making']","Kalyan Sivasailam, Syed S Ahmed, Vishnu Madhu",Rohit Razdan and Shiv Tallam,5800000,Series A
6Degree,2014,Mumbai,Retail,"['fashion', '6Degree', 'retail', 'startup', 'provides']","Amit Bhardwaj, Nikhil Hegde","Keiretsu Forum, SucSEED Venture Partners",1000000,Undisclosed
88academics,2018,New Delhi,EdTech,"['88academics', '88tuition', 'Pte', 'Ltd', 'established']",Anil Ahuja,Aarin Capital,3000000,Pre-series A
90+ My Tuition App,2015,Bengaluru,EdTech,"['Daskalos', 'Virtual', 'Academy', 'Pvt', 'Ltd']",Vingish Vijay,Pearl Investment LLC,5000000,Series A
AarogyaAI,2019,New Delhi,Healthcare,"['AI', 'enabled', 'SaaS', 'diagnoses', 'drug']","Praapti Jayaswal, Avlokita Tiwari","Redstart Labs, Avaana Capital",700000,Seed
Aastey,2020,Mumbai,Apparel & Fashion,"['Building', 'India', 'size', 'inclusive', 'brand']","Kanupriya Mundhra, Jeevika Tyagi",CXXO,1300000,Seed
ABL Workspaces,2017,New Delhi,Hospitality,"['ABL', 'Workspaces', 'co', 'working', 'space']","Ankur Gupta, Akshita Gupta",Wurk,600000,Pre-series A
Accel,1983,Palo Alto,FinTech,"['Accel', 'early', 'growth', 'stage', 'venture']","Arthur Patterson, Jim Swartz",Multiples,18300000000,Undisclosed
Accelero Vehicles,2017,New Delhi,Automotive,"['eBik', '™', 'developed', 'Accelero', 'Vehicles']",Anant Jain,"Social Alpha, LetsVenture",200000,Seed
Acefour Accesoeies,2021,Mumbai,Travel,"['Acefour', 'Accessories', 'operates', 'D2C', 'travel']","Sudip Ghose, Arnob Kumar Mondal, Uday Sodhi",Sixth Sense Ventures and Volrado Ventures,8500000,Seed
AcknoLedger,2021,Mumbai,Cryptocurrency,"['AcknoLedger', 'Global', 'platform', 'distributes', 'Web']",Yash Dahenkar,"Momentum 6, Basics Capital, Krypital Capital, Shima Capital, Magnus Capital",1500000,Seed
Acko,2016,Bengaluru,Insurance,"['ACKO', 'India', 'fastest', 'growing', 'InsurTech']","Varun Dua, Ruchi Deepak","General Atlantic, Multiples",255000000,Series D
